company,symbol,exchange,quarter,periodEnded,revenue,profitLoss,previousRevenue,previousProfitLoss,currency,sourceUrl
Aditya Birla Money Limited,BIRLAMONEY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_117687_1360940_24012025082547.xml
Aditya Birla Real Estate Limited,ABREL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117439_1355490_21012025050527.xml
Aditya Birla Sun Life AMC Limited,ABSLAMC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117822_1362719_28012025124545.xml
Aditya Vision Limited,AVL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118259_1367013_31012025013446.xml
Ador Welding Limited,ADOR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117685_1360920_24012025080913.xml
Adroit Infotech Limited,ADROITINFO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117504_1357401_22012025073213.xml
Advanced Enzyme Technologies Limited,ADVENZYMES,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119224_1375464_08022025010224.xml
Advani Hotels & Resorts (India) Limited,ADVANIHOTR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119142_1375032_07022025071914.xml
Aegis Logistics Limited,AEGISLOG,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119888_1379811_12022025043635.xml
Aeroflex Enterprises Limited,AEROENTER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118341_1367674_31012025062724.xml
Aeroflex Industries Limited,AEROFLEX,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117250_1346570_15012025064118.xml
Aeroflex Neu Limited,AERONEU,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118012_1364634_29012025045056.xml
Aether Industries Limited,AETHER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117320_1349413_17012025043753.xml
Afcons Infrastructure Limited,AFCONS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120487_1383624_14022025012729.xml
Affle 3i Limited,AFFLE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119262_1375655_08022025035657.xml
Affordable Robotic & Automation Limited,AFFORDABLE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119548_1377741_11022025014405.xml
Agarwal Industrial Corporation Limited,AGARIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120550_1384023_14022025034511.xml
Agi Infra Limited,AGIIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118816_1372432_06022025124342.xml
Agri-Tech (India) Limited,AGRITECH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117631_1360468_24012025051054.xml
Agro Phos India Limited,AGROPHOS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118901_1373239_06022025053431.xml
Ahlada Engineers Limited,AHLADA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120620_1384512_14022025051453.xml
Ahluwalia Contracts (India) Limited,AHLUCONT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119861_1379662_12022025040007.xml
Airan Limited,AIRAN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120771_1385567_14022025090032.xml
Airo Lam limited,AIROLAM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120135_1381206_13022025122410.xml
Ajanta Pharma Limited,AJANTPHARM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118165_1366143_30012025052543.xml
Ajax Engineering Limited,AJAXENGG,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121024_1394128_10032025101755.xml
Ajmera Realty & Infra India Limited,AJMERA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118561_1370079_04022025023453.xml
Ajooni Biotech Limited,AJOONI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120141_1381246_13022025124321.xml
