company,symbol,exchange,quarter,periodEnded,revenue,profitLoss,previousRevenue,previousProfitLoss,currency,sourceUrl
N. B. I. Industrial Finance Company Limited,NBIFIN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120245_1381882_13022025041036.xml
NACL Industries Limited,NACLIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120198_1381561_13022025022952.xml
NAVA LIMITED,NAVA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119058_1374482_07022025043246.xml
NBCC (India) Limited,NBCC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119857_1379621_12022025034658.xml
NCC Limited,NCC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118895_1373196_06022025052431.xml
NCL Industries Limited,NCLIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120090_1380897_12022025095709.xml
NDL Ventures Limited,NDLVENTURE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117571_1359720_23012025073935.xml
NELCO Limited,NELCO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117325_1349686_17012025052752.xml
NEPHRO CARE INDIA LIMITED,NEPHROCARE,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_114767_1303058_09112024051943.xml
NETWORK PEOPLE SERVICES TECHNOLOGIES LIMITED,NPST,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
NGL Fine-Chem Limited,NGLFINE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119222_1375455_08022025125637.xml
NHPC Limited,NHPC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119177_1375205_07022025084823.xml
NIBE Limited,NIBE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120266_1382036_13022025045212.xml
NIDAN LABORATORIES AND HEALTHCARE LIMITED,NIDAN,NSE,Fourth Quarter,2024-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NONINDAS_106969_1136941_24052024012443.xml
NIIT Learning Systems Limited,NIITMTS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117481_1357059_22012025042631.xml
NIIT Limited,NIITLTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117609_1360193_24012025031042.xml
NINtec Systems Limited,NINSYS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120054_1380688_12022025073814.xml
NIRMAN AGRI GENETICS LIMITED,NIRMAN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NONINDAS_118801_1372325_06022025114036.xml
NK Industries Limited,NKIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118621_1370708_04022025064442.xml
NLC India Limited,NLCINDIA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118566_1370119_04022025025345.xml
NMDC Limited,NMDC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118933_1373548_06022025065519.xml
NMDC Steel Limited,NSLNISP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118988_1373952_07022025121249.xml
NOCIL Limited,NOCIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118984_1373885_07022025110258.xml
NRB Bearing Limited,NRBBEARING,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119184_1375247_07022025093109.xml
NRB Industrial Bearings Limited,NIBL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118708_1371411_05022025023229.xml
NTPC Green Energy Limited,NTPCGREEN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121049_1395738_13032025104907.xml
NTPC Limited,NTPC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117749_1361511_25012025074359.xml
Naga Dhunseri Group Limited,NDGL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_120618_1384506_14022025051422.xml
Nagarjuna Fertilizers and Chemicals Limited,NAGAFERT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120608_1384428_14022025045614.xml
Nagreeka Capital & Infrastructure Limited,NAGREEKCAP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120001_1380404_12022025063114.xml
Nagreeka Exports Limited,NAGREEKEXP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120395_1382873_13022025074607.xml
Nahar Capital and Financial Services Limited,NAHARCAP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118472_1369156_03022025045549.xml
Nahar Industrial Enterprises Limited,NAHARINDUS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120631_1384615_14022025053019.xml
Nahar Poly Films Limited,NAHARPOLY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118483_1369320_03022025054019.xml
Nahar Spinning Mills Limited,NAHARSPING,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118465_1369031_03022025035837.xml
Nakoda Group of Industries Limited,NGIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117850_1363077_28012025042216.xml
Nalwa Sons Investments Limited,NSIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_120107_1381007_13022025104643.xml
Nandan Denim Limited,NDL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117869_1363273_28012025052046.xml
Nandani Creation Limited,JAIPURKURT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118576_1370204_04022025033055.xml
Narayana Hrudayalaya Ltd.,NH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120742_1385375_14022025074522.xml
Narmada Agrobase Limited,NARMADA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120515_1383829_14022025030915.xml
Natco Pharma Limited,NATCOPHARM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119898_1379856_12022025044609.xml
Nath Bio-Genes (India) Limited,NATHBIOGEN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117544_1359304_23012025043341.xml
National Aluminium Company Limited,NATIONALUM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119492_1377337_10022025093643.xml
National Fertilizers Limited,NFL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119400_1376723_10022025053520.xml
Navin Fluorine International Limited,NAVINFLUOR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118239_1366851_31012025114645.xml
Navkar Corporation Limited,NAVKARCORP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117765_1361997_27012025043642.xml
Navkar Urbanstructure Limited,NAVKARURB,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120138_1381222_13022025123303.xml
Navneet Education Limited,NAVNETEDUL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118827_1372548_06022025021732.xml
Nazara Technologies Limited,NAZARA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120560_1384089_14022025035830.xml
Ndr Auto Components Limited,NDRAUTO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119773_1379085_12022025114156.xml
Nectar Lifesciences Limited,NECLIFE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118344_1367713_31012025063831.xml
Nelcast Limited,NELCAST,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118416_1368250_01022025123300.xml
Neogen Chemicals Limited,NEOGEN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118446_1368603_01022025083740.xml
Nesco Limited,NESCO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118224_1366714_30012025113437.xml
Nestle India Limited,NESTLEIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118375_1367903_31012025073606.xml
Netweb Technologies India Limited,NETWEB,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121025_1394141_10032025110522.xml
Network18 Media & Investments Limited,NETWORK18,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121042_1395091_11032025070616.xml
Neueon Corporation Limited,NEUEON,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121048_1395354_12032025022745.xml
Neuland Laboratories Limited,NEULANDLAB,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119391_1376680_10022025052210.xml
New Delhi Television Limited,NDTV,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117738_1361377_25012025050317.xml
Newgen Software Technologies Limited,NEWGEN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117399_1352919_20012025050013.xml
Next Mediaworks Limited,NEXTMEDIA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117337_1350214_17012025072251.xml
Nila Infrastructures Limited,NILAINFRA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118481_1369278_03022025052736.xml
Nila Spaces Limited,NILASPACES,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118578_1370243_04022025034849.xml
Nilkamal Limited,NILKAMAL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118737_1371661_05022025043622.xml
Nippon Life India Asset Management Limited,NAM-INDIA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117568_1359686_23012025072045.xml
Niraj Cement Structurals Limited,NIRAJ,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119737_1378834_11022025082921.xml
Niraj Ispat Industries Limited,NIRAJISPAT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119858_1379642_12022025035547.xml
Nitco Limited,NITCO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120047_1380639_12022025072823.xml
Nitin Fire Protection Industries Limited,NITINFIRE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121092_1405515_29032025025828.xml
Nitin Spinners Limited,NITINSPIN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121026_1394156_10032025112410.xml
Nitiraj Engineers Limited,NITIRAJ,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120158_1381368_13022025011300.xml
Noida Toll Bridge Company Limited,NOIDATOLL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119019_1374184_07022025022858.xml
Norben Tea & Exports Limited,NORBTEAEXP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120307_1382260_13022025052939.xml
North Eastern Carrying Corporation Limited,NECCLTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118399_1368118_01022025095659.xml
Northern Arc Capital Limited,NORTHARC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_120666_1384822_14022025055924.xml
Nova Agritech Limited,NOVAAGRI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119622_1378214_11022025045757.xml
Nucleus Software Exports Limited,NUCLEUS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117875_1363341_28012025054347.xml
Nupur Recyclers Limited,NRL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118430_1368463_01022025052049.xml
Nureca Limited,NURECA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117677_1360875_24012025074413.xml
Nuvama Wealth Management Limited,NUVAMA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118397_1368053_31012025084842.xml
Nuvoco Vistas Corporation Limited,NUVOCO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117496_1357291_22012025062223.xml
OCCL Limited,OCCLLTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119575_1377909_11022025030635.xml
OM INFRA LIMITED,OMINFRAL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119268_1375689_08022025041550.xml
OMFURN INDIA LIMITED,OMFURN,NSE,Second Quarter,2022-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
ORIENT CERATECH LIMITED,ORIENTCER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118944_1373643_06022025074038.xml
ORTIN GLOBAL LIMITED,ORTINGLOBE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120046_1380632_12022025072802.xml
Oberoi Realty Limited,OBEROIRLTY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117441_1355510_21012025051037.xml
Odigma Consultancy Solutions Limited,ODIGMA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119338_1376232_10022025021735.xml
Oil & Natural Gas Corporation Limited,ONGC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118395_1368047_31012025084518.xml
Oil Country Tubular Limited,OILCOUNTUB,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118049_1364961_29012025061930.xml
Oil India Limited,OIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119234_1375502_08022025013818.xml
Ola Electric Mobility Limited,OLAELEC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119202_1375325_08022025072001.xml
Olectra Greentech Limited,OLECTRA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118082_1365213_29012025081319.xml
Omax Autos Limited,OMAXAUTO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121046_1395343_12032025020456.xml
Omaxe Limited,OMAXE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119417_1376853_10022025061115.xml
OnMobile Global Limited,ONMOBILE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118672_1371025_04022025112940.xml
One 97 Communications Limited,PAYTM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117413_1353602_20012025063856.xml
One Mobikwik Systems Limited,MOBIKWIK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118629_1370757_04022025065454.xml
One Point One Solutions Limited,ONEPOINT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119682_1378585_11022025064346.xml
Onelife Capital Advisors Limited,ONELIFECAP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119392_1376684_10022025052252.xml
Onesource Specialty Pharma Limited,ONESOURCE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118079_1365197_29012025080507.xml
Onida Electronics Limited,ONIDA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120710_1385170_14022025070045.xml
Onward Technologies Limited,ONWARDTEC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117428_1354721_21012025014331.xml
Optiemus Infracom Limited,OPTIEMUS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119776_1379098_12022025114815.xml
Oracle Financial Services Software Limited,OFSS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117256_1346694_15012025083726.xml
Orbit Exports Limited,ORBTEXP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119086_1374658_07022025053113.xml
Orchasp Limited,ORCHASP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119073_1374589_07022025051425.xml
Orchid Pharma Limited,ORCHPHARMA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120155_1381339_13022025010650.xml
Oricon Enterprises Limited,ORICONENT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120396_1382877_13022025074729.xml
Orient Bell Limited,ORIENTBELL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117715_1361236_25012025030016.xml
Orient Cement Limited,ORIENTCEM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117618_1360304_24012025035950.xml
Orient Electric Limited,ORIENTELEC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118028_1364774_29012025052243.xml
Orient Green Power Company Limited,GREENPOWER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117662_1360763_24012025065101.xml
Orient Paper & Industries Limited,ORIENTPPR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119396_1376704_10022025052906.xml
Orient Press Limited,ORIENTLTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120243_1381876_13022025040934.xml
Orient Technologies Limited,ORIENTTECH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119068_1374561_07022025050714.xml
Oriental Aromatics Limited,OAL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118551_1370017_04022025020854.xml
Oriental Carbon & Chemicals Limited,OCCL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118884_1373103_06022025050730.xml
Oriental Hotels Limited,ORIENTHOT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117232_1346035_15012025035213.xml
Oriental Trimex Limited,ORIENTALTL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119180_1375224_07022025090854.xml
Orissa Bengal Carrier Limited,OBCL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120496_1383674_14022025020722.xml
Osia Hyper Retail Limited,OSIAHYPER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120644_1384706_14022025054323.xml
Oswal Agro Mills Limited,OSWALAGRO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117959_1364223_29012025014215.xml
Oswal Greentech Limited,OSWALGREEN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117950_1364114_29012025121519.xml
P N Gadgil Jewellers Limited,PNGJL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120080_1380817_12022025084033.xml
P. E. ANALYTICS LIMITED,PROPEQUITY,NSE,Second Quarter,2022-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
PAKKA LIMITED,PAKKA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119305_1375898_08022025074202.xml
PARAMOUNT DYE TEC LIMITED,PARAMOUNT,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_116760_1315188_15112024045142.xml
PARAMPARA DAIRY DELIGHTS LIMITED,PARAMPARA,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_116769_1315224_15112024045828.xml
PARIN ENTERPRISES LIMITED,PARIN,NSE,Second Quarter,2022-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
PARTY CRUISERS LIMITED,PARTYCRUS,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
PASHUPATI COTSPIN LIMITED,PASHUPATI,NSE,Second Quarter,2022-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
PB Fintech Limited,POLICYBZR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118218_1366630_30012025080424.xml
PC Jeweller Limited,PCJEWELLER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118702_1371368_05022025015647.xml
PCBL Chemical Limited,PCBL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117197_1342621_10012025094609.xml
PDS Limited,PDSL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117974_1364336_29012025030221.xml
PELATRO LIMITED,PELATRO,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_115491_1307914_13112024011734.xml
PERFECT INFRAENGINEERS LIMITED,PERFECT,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
PG Electroplast Limited,PGEL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118958_1373729_06022025083031.xml
PHANTOM DIGITAL EFFECTS LIMITED,PHANTOMFX,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
PI Industries Limited,PIIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119021_1374197_07022025023201.xml
PIL ITALICA LIFESTYLE LIMITED,PILITA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117587_1359854_24012025101942.xml
PNB Gilts Limited,PNBGILTS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_117926_1363809_28012025091550.xml
PNB Housing Finance Limited,PNBHOUSING,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_117471_1356840_22012025012404.xml
PNC Infratech Limited,PNCINFRA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119432_1376939_10022025063204.xml
POWERFUL TECHNOLOGIES LIMITED,POWERFUL,NSE,Second Quarter,2020-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
PPAP Automotive Limited,PPAP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119067_1374544_07022025050153.xml
PRECISION METALIKS LIMITED,PRECISION,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
PRITIKA ENGINEERING COMPONENTS LIMITED,PRITIKA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119363_1376427_10022025035020.xml
PSP Projects Limited,PSPPROJECT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119079_1374622_07022025052340.xml
PTC India Financial Services Limited,PFS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_117873_1363330_28012025054013.xml
PTC India Limited,PTC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120037_1380564_12022025070612.xml
PTC Industries Limited,PTCIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120762_1385525_14022025084723.xml
